OID_,CID,L5_20001227_NIR,L5_20010128_NIR,L5_20010418_NIR,L5_20021201_NIR,L5_20030219_NIR,L5_20031220_NIR,L5_20040410_NIR,L5_20041222_NIR,L5_20050312_NIR,L5_20051123_NIR,L5_20060227_NIR,L5_20070129_NIR,L5_20080421_NIR,L5_20081030_NIR,L5_20090118_NIR,L5_20090307_NIR,L5_20101207_NIR,L5_20101223_NIR,L5_20110108_NIR,L5_20110313_NIR,L5_20110430_NIR
1,1,0.213957500000000,0.212500000000000,0.245802500000000,0.204910000000000,0.207412500000000,0.195725000000000,0.242530000000000,0.222070000000000,0.215662500000000,0.212225000000000,0.204277500000000,0.183762500000000,0.220777500000000,0.204662500000000,0.200070000000000,0.208182500000000,0.197815000000000,0.203012500000000,0.203480000000000,0.207440000000000,0.249597500000000
2,1,0.201115000000000,0.185330000000000,0.211675000000000,0.178867500000000,0.183405000000000,0.184752500000000,0.207990000000000,0.193580000000000,0.184917500000000,0.182305000000000,0.171470000000000,0.164952500000000,0.226965000000000,0.217175000000000,0.200097500000000,0.240742500000000,0.177602500000000,0.186320000000000,0.161130000000000,0.187062500000000,0.217945000000000
3,1,0.238240000000000,0.233702500000000,0.221080000000000,0.230650000000000,0.235737500000000,0.216927500000000,0.219650000000000,0.216240000000000,0.188795000000000,0.221575000000000,0.204250000000000,0.216322500000000,0.230292500000000,0.221685000000000,0.227102500000000,0.224902500000000,0.192727500000000,0.197760000000000,0.192865000000000,0.191710000000000,0.204937500000000
4,1,0.165420000000000,0.169187500000000,0.302397500000000,0.184037500000000,0.154970000000000,0.152770000000000,0.216212500000000,0.120870000000000,0.119880000000000,0.138470000000000,0.114572500000000,0.151037500000000,0.240137500000000,0.208540000000000,0.189345000000000,0.211950000000000,0.187530000000000,0.142210000000000,0.187365000000000,0.209942500000000,0.291672500000000
5,1,0.230402500000000,0.217175000000000,0.279490000000000,0.173670000000000,0.159810000000000,0.222070000000000,0.246297500000000,0.238487500000000,0.230732500000000,0.245692500000000,0.240192500000000,0.216047500000000,0.251055000000000,0.230017500000000,0.237635000000000,0.248525000000000,0.232410000000000,0.235462500000000,0.218935000000000,0.202187500000000,0.220612500000000
6,1,0.172102500000000,0.164457500000000,0.269700000000000,0.184367500000000,0.174330000000000,0.163687500000000,0.235600000000000,0.177355000000000,0.150652500000000,0.182772500000000,0.147407500000000,0.169875000000000,0.255840000000000,0.222097500000000,0.189427500000000,0.191435000000000,0.172872500000000,0.180765000000000,0.177300000000000,0.168637500000000,0.296017500000000
7,1,0.201857500000000,0.191022500000000,0.326570000000000,0.194542500000000,0.197842500000000,0.185000000000000,0.265355000000000,0.182690000000000,0.185027500000000,0.202435000000000,0.187887500000000,0.174440000000000,0.275172500000000,0.221877500000000,0.184010000000000,0.199960000000000,0.172762500000000,0.180957500000000,0.177080000000000,0.191792500000000,0.321317500000000
8,1,0.214452500000000,0.206917500000000,0.235325000000000,0.189427500000000,0.188465000000000,0.185055000000000,0.246380000000000,0.182690000000000,0.162092500000000,0.202160000000000,0.196275000000000,0.207412500000000,0.268050000000000,0.256115000000000,0.232437500000000,0.224847500000000,0.222757500000000,0.230980000000000,0.219292500000000,0.225700000000000,0.266372500000000
9,1,0.194460000000000,0.206395000000000,0.259057500000000,0.204415000000000,0.197375000000000,0.205817500000000,0.245885000000000,0.221465000000000,0.211510000000000,0.196412500000000,0.199520000000000,0.192645000000000,0.274705000000000,0.229825000000000,0.215772500000000,0.215800000000000,0.202297500000000,0.226580000000000,0.218687500000000,0.206367500000000,0.281992500000000
10,1,0.208402500000000,0.190885000000000,0.208787500000000,0.179115000000000,0.183845000000000,0.190445000000000,0.219787500000000,0.205212500000000,0.188850000000000,0.197237500000000,0.200317500000000,0.160745000000000,0.207110000000000,0.191655000000000,0.179087500000000,0.196302500000000,0.182910000000000,0.198172500000000,0.171965000000000,0.192012500000000,0.227652500000000
11,1,0.184285000000000,0.169737500000000,0.215360000000000,0.184367500000000,0.174247500000000,0.179775000000000,0.246792500000000,0.188575000000000,0.192727500000000,0.187722500000000,0.196055000000000,0.179170000000000,0.217037500000000,0.195917500000000,0.195120000000000,0.200097500000000,0.182910000000000,0.203260000000000,0.177217500000000,0.211152500000000,0.268985000000000
12,1,0.218605000000000,0.217202500000000,0.245665000000000,0.240742500000000,0.207192500000000,0.227377500000000,0.250010000000000,0.238515000000000,0.234527500000000,0.216487500000000,0.215965000000000,0.197512500000000,0.220200000000000,0.212747500000000,0.221575000000000,0.219897500000000,0.212445000000000,0.224325000000000,0.224105000000000,0.217725000000000,0.227102500000000
13,1,0.153815000000000,0.185467500000000,0.226085000000000,0.204717500000000,0.193030000000000,0.190142500000000,0.227212500000000,0.216020000000000,0.200262500000000,0.206560000000000,0.191407500000000,0.192865000000000,0.223940000000000,0.212885000000000,0.205487500000000,0.220172500000000,0.207577500000000,0.224517500000000,0.213737500000000,0.214040000000000,0.223747500000000
14,1,0.189757500000000,0.174605000000000,0.242805000000000,0.235792500000000,0.140945000000000,0.142182500000000,0.250312500000000,0.143392500000000,0.123730000000000,0.167840000000000,0.208732500000000,0.155850000000000,0.279050000000000,0.208787500000000,0.152247500000000,0.179720000000000,0.167785000000000,0.176255000000000,0.150735000000000,0.210960000000000,0.356765000000000
