L7date,L7dateunique,L8date,L8dateunique
L7_20140124,L7_20140124,L8_20140116,L8_20140116
L7_20140209,L7_20140209,L8_20140217,L8_20140217
L7_20140313,L7_20140313,L8_20140321,L8_20140321
L7_20141023,L7_20141023,L8_20141015,L8_20141015
L7_20141210,L7_20141210,L8_20141202,L8_20141202
L7_20150127,L7_20150127,L8_20150119,L8_20150119
L7_20150212,L7_20150212,L8_20150220,L8_20150220
L7_20170116,L7_20170116,L8_20170108,L8_20170108
L7_20170201,L7_20170201,L8_20170124,L8_20170124
L7_20170508,L7_20170508,L8_20170516,L8_20170516
L7_20171202,L7_20171202,L8_20171210,L8_20171210
L7_20180308,L7_20180308,L8_20180316,L8_20180316
L7_20181205,L7_20181205,L8_20181127,L8_20181127
L7_20200125,L7_20200125a,L8_20200117,L8_20200117
L7_20200125,L7_20200125b,L8_20200202,L8_20200202
L7_20201124,L7_20201124,L8_20201116,L8_20201116
L7_20201210,L7_20201210,L8_20201218,L8_20201218
L7_20211127,L7_20211127a,L8_20211119,L8_20211119
L7_20211127,L7_20211127b,L8_20211205,L8_20211205
L7_20211229,L7_20211229,L8_20220106,L8_20220106a
L7_20220114,L7_20220114,L8_20220106,L8_20220106b
L7_20220404,L7_20220404a,L8_20220327,L8_20220327
L7_20220404,L7_20220404b,L8_20220412,L8_20220412
L7_20221024,L7_20221024,L8_20221021,L8_20221021
L7_20221202,L7_20221202,L8_20221208,L8_20221208a
L7_20221214,L7_20221214,L8_20221208,L8_20221208b
L7_20221219,L7_20221219,L8_20221224,L8_20221224
L7_20230319,L7_20230319,L8_20230314,L8_20230314
L7_20230324,L7_20230324,L8_20230330,L8_20230330
L7_20230916,L7_20230916,L8_20230922,L8_20230922a
L7_20230921,L7_20230921,L8_20230922,L8_20230922b
