OID_,CID,L7_20010104_NIR,L7_20010205_NIR,L7_20010426_NIR,L7_20021123_NIR,L7_20030211_NIR,L7_20031228_NIR,L7_20040402_NIR,L7_20040418_NIR,L7_20041214_NIR,L7_20050304_NIR,L7_20050320_NIR,L7_20051201_NIR,L7_20060307_NIR,L7_20070206_NIR,L7_20080429_NIR,L7_20081022_NIR,L7_20090110_NIR,L7_20090227_NIR,L7_20101215_NIR,L7_20101231_NIR,L7_20110321_NIR,L7_20110508_NIR
1,1,0.206175000000000,0.200455000000000,0.255042500000000,0.208045000000000,0.198832500000000,0.201582500000000,0.225205000000000,0.256170000000000,0.220117500000000,0.211070000000000,0.218330000000000,0.204442500000000,0.212692500000000,0.192260000000000,0.233125000000000,0.213682500000000,0.201060000000000,0.205570000000000,nan,0.217615000000000,0.227790000000000,0.262357500000000
2,1,0.184065000000000,0.176832500000000,0.208842500000000,0.184285000000000,0.179362500000000,0.182690000000000,0.195312500000000,nan,0.187007500000000,nan,0.186017500000000,nan,0.182360000000000,0.175897500000000,0.232932500000000,0.240385000000000,0.193140000000000,0.236452500000000,0.178070000000000,0.186622500000000,0.210520000000000,0.223802500000000
3,1,0.231942500000000,0.223720000000000,0.226772500000000,0.234445000000000,0.229770000000000,0.228367500000000,0.217560000000000,0.219980000000000,0.205570000000000,0.184862500000000,0.198145000000000,0.214810000000000,nan,0.228147500000000,0.235985000000000,0.240660000000000,0.227157500000000,0.232465000000000,0.189152500000000,0.194432500000000,0.207357500000000,0.214315000000000
4,1,0.161982500000000,0.160800000000000,0.317962500000000,0.191022500000000,0.154310000000000,0.156125000000000,0.187860000000000,0.249240000000000,0.110695000000000,0.108275000000000,0.117405000000000,0.137892500000000,nan,0.166052500000000,0.257462500000000,0.218055000000000,0.189152500000000,0.204910000000000,0.196220000000000,0.174632500000000,0.226937500000000,0.314085000000000
5,1,0.223912500000000,0.207027500000000,0.296650000000000,0.181150000000000,0.157445000000000,0.224270000000000,0.244345000000000,0.245582500000000,0.234142500000000,0.223857500000000,0.234060000000000,0.235462500000000,nan,0.227570000000000,0.254272500000000,0.244785000000000,0.241622500000000,0.245032500000000,nan,0.213875000000000,0.226525000000000,0.224132500000000
6,1,0.165970000000000,0.167372500000000,0.269535000000000,0.184642500000000,0.167427500000000,0.179005000000000,0.203370000000000,0.256912500000000,0.169352500000000,0.151257500000000,0.153897500000000,0.176667500000000,0.161460000000000,0.176117500000000,0.275640000000000,0.232080000000000,0.178015000000000,0.182635000000000,nan,0.178455000000000,0.203342500000000,0.312930000000000
7,1,0.191572500000000,0.190472500000000,0.349202500000000,0.201362500000000,0.195477500000000,0.182717500000000,0.225205000000000,0.288097500000000,0.179885000000000,0.176777500000000,nan,0.183515000000000,0.200015000000000,nan,nan,nan,0.182112500000000,0.196742500000000,0.178235000000000,nan,0.207852500000000,0.336580000000000
8,1,0.199492500000000,0.193910000000000,0.234472500000000,0.197925000000000,0.186155000000000,0.190527500000000,0.222262500000000,0.216982500000000,0.184477500000000,0.164017500000000,0.166327500000000,0.211950000000000,0.200730000000000,0.215497500000000,0.281690000000000,0.272532500000000,0.234582500000000,0.228615000000000,nan,0.253227500000000,0.240907500000000,0.277757500000000
9,1,0.187200000000000,0.183597500000000,0.262275000000000,0.193800000000000,0.185412500000000,0.204882500000000,0.232217500000000,0.263485000000000,0.208622500000000,0.205790000000000,0.209942500000000,0.200427500000000,0.207495000000000,0.197980000000000,0.292085000000000,0.226937500000000,0.211482500000000,0.087925000000000,nan,0.217642500000000,nan,nan
10,1,0.196000000000000,0.190995000000000,0.206477500000000,0.191325000000000,0.183157500000000,0.194295000000000,0.206780000000000,nan,0.198585000000000,nan,0.207110000000000,0.201142500000000,0.200235000000000,0.166657500000000,0.222675000000000,0.209667500000000,0.182580000000000,0.196797500000000,0.189647500000000,0.194405000000000,0.216625000000000,0.249982500000000
