OID_,CID,L7_20140124_NIR,L7_20140209_NIR,L7_20140313_NIR,L7_20141023_NIR,L7_20141210_NIR,L7_20150127_NIR,L7_20150212_NIR,L7_20170116_NIR,L7_20170201_NIR,L7_20170508_NIR,L7_20171202_NIR,L7_20180308_NIR,L7_20181205_NIR,L7_20200125_NIR,L7_20201124_NIR,L7_20201210_NIR,L7_20211127_NIR,L7_20211229_NIR,L7_20220114_NIR,L7_20220404_NIR,L7_20221024_NIR,L7_20221202_NIR,L7_20221214_NIR,L7_20221219_NIR,L7_20230319_NIR,L7_20230324_NIR,L7_20230916_NIR,L7_20230921_NIR
1,1,0.197897500000000,0.197127500000000,0.201445000000000,0.214425000000000,0.200097500000000,0.200785000000000,0.199630000000000,0.208430000000000,0.199300000000000,0.262907500000000,0.201527500000000,0.153815000000000,0.122795000000000,0.205047500000000,0.214315000000000,0.224545000000000,0.238322500000000,0.218055000000000,0.227075000000000,0.223857500000000,0.247370000000000,nan,0.250917500000000,nan,0.230210000000000,nan,0.254410000000000,0.239945000000000
2,1,nan,nan,nan,0.222125000000000,0.217285000000000,0.207027500000000,0.215057500000000,0.237580000000000,0.228092500000000,nan,nan,0.220475000000000,nan,0.218825000000000,nan,nan,nan,0.212417500000000,nan,0.214507500000000,0.241017500000000,nan,nan,nan,0.216790000000000,nan,nan,0.232767500000000
3,1,nan,0.205900000000000,0.216735000000000,0.226690000000000,nan,0.204057500000000,0.211647500000000,0.223280000000000,0.212142500000000,0.256307500000000,0.215305000000000,0.221492500000000,0.181370000000000,0.226167500000000,0.217450000000000,nan,nan,0.212967500000000,0.212692500000000,nan,0.247205000000000,nan,0.257352500000000,nan,0.229412500000000,nan,nan,0.252952500000000
4,1,0.183762500000000,0.180847500000000,0.197237500000000,0.196962500000000,0.181727500000000,0.176502500000000,0.186182500000000,0.208760000000000,0.202215000000000,0.309492500000000,0.204167500000000,0.205377500000000,0.170892500000000,0.186870000000000,0.202627500000000,0.223692500000000,0.198970000000000,0.181397500000000,0.198200000000000,nan,0.222290000000000,nan,0.228587500000000,nan,0.204607500000000,nan,0.246902500000000,0.232767500000000
5,1,0.211235000000000,0.202902500000000,0.212720000000000,0.226305000000000,0.224242500000000,0.210382500000000,0.218192500000000,0.194487500000000,0.192590000000000,0.244565000000000,0.186265000000000,0.205212500000000,0.191490000000000,0.190417500000000,0.180270000000000,0.194267500000000,0.182442500000000,0.161102500000000,0.169847500000000,0.195615000000000,0.197677500000000,nan,0.166877500000000,nan,0.179665000000000,nan,0.218742500000000,0.206010000000000
6,1,0.160140000000000,0.149690000000000,0.150982500000000,0.218880000000000,0.178867500000000,0.166822500000000,0.170892500000000,0.183597500000000,0.176585000000000,0.308007500000000,0.172817500000000,0.165915000000000,0.178180000000000,0.183680000000000,0.180820000000000,0.175540000000000,0.179087500000000,0.156455000000000,0.165447500000000,0.201747500000000,0.228972500000000,nan,0.208842500000000,nan,0.205625000000000,0.197787500000000,0.262247500000000,0.253007500000000
7,1,0.180737500000000,0.171827500000000,0.182250000000000,0.210135000000000,0.174962500000000,nan,0.174027500000000,0.208897500000000,0.196110000000000,0.326240000000000,0.176475000000000,0.186265000000000,0.143447500000000,0.172982500000000,0.184587500000000,0.200262500000000,0.187420000000000,0.156372500000000,0.170067500000000,0.215140000000000,0.216625000000000,nan,0.188245000000000,0.163220000000000,0.204965000000000,nan,0.246985000000000,0.226470000000000
8,1,0.225892500000000,0.210052500000000,0.217532500000000,0.243795000000000,0.228615000000000,0.214232500000000,0.209420000000000,0.231722500000000,0.215525000000000,0.280425000000000,0.205047500000000,0.206120000000000,0.136600000000000,0.212280000000000,0.221685000000000,0.229550000000000,0.232822500000000,0.230292500000000,0.212720000000000,0.242145000000000,0.247012500000000,nan,0.229825000000000,nan,0.241870000000000,nan,0.303002500000000,0.273110000000000
9,1,0.201115000000000,0.196550000000000,0.200977500000000,nan,0.192177500000000,0.166025000000000,0.185770000000000,0.201445000000000,0.185962500000000,0.261532500000000,0.189785000000000,0.192810000000000,0.194900000000000,nan,0.202050000000000,0.232492500000000,0.219485000000000,0.216350000000000,0.221602500000000,0.251192500000000,0.227845000000000,nan,0.248552500000000,nan,0.191710000000000,nan,0.168830000000000,0.145097500000000
10,1,0.177245000000000,nan,nan,0.193580000000000,0.178867500000000,0.174000000000000,0.183817500000000,0.184780000000000,0.167125000000000,nan,nan,0.186237500000000,0.122822500000000,0.169710000000000,nan,0.172130000000000,0.182772500000000,0.188740000000000,nan,0.187090000000000,0.191352500000000,nan,nan,0.157417500000000,0.173395000000000,nan,nan,0.179142500000000
11,1,0.198007500000000,0.200675000000000,0.209530000000000,0.210272500000000,0.186100000000000,0.187447500000000,0.193222500000000,0.202105000000000,0.196165000000000,0.277537500000000,0.172982500000000,nan,0.181590000000000,0.169627500000000,0.177190000000000,0.176117500000000,0.200427500000000,0.167235000000000,0.174962500000000,0.219540000000000,0.203920000000000,nan,0.181480000000000,0.169242500000000,nan,nan,0.219017500000000,nan
12,1,0.225095000000000,0.208925000000000,0.235930000000000,nan,0.203177500000000,0.193580000000000,0.205487500000000,0.204690000000000,0.198997500000000,0.247287500000000,0.193497500000000,0.216955000000000,0.191545000000000,nan,0.206505000000000,0.218412500000000,0.169847500000000,0.166162500000000,0.165117500000000,0.150350000000000,0.210052500000000,nan,0.215002500000000,nan,0.204690000000000,nan,0.261092500000000,0.245995000000000
13,1,0.200812500000000,0.193470000000000,0.201170000000000,0.209805000000000,0.206780000000000,0.203700000000000,0.209062500000000,0.205680000000000,0.195862500000000,0.236672500000000,0.186595000000000,0.185770000000000,0.170947500000000,0.190610000000000,0.176640000000000,0.196660000000000,0.178482500000000,0.156097500000000,0.160442500000000,nan,0.204085000000000,nan,0.187695000000000,nan,0.186155000000000,nan,0.225672500000000,0.199300000000000
14,1,nan,0.162202500000000,0.241292500000000,0.222592500000000,0.161157500000000,0.149910000000000,0.164485000000000,0.162862500000000,0.160772500000000,0.406017500000000,0.147930000000000,0.186072500000000,0.108907500000000,0.155410000000000,0.206945000000000,nan,0.169930000000000,0.120127500000000,0.117680000000000,nan,0.215580000000000,nan,0.167070000000000,nan,0.278720000000000,nan,0.260130000000000,0.246215000000000
15,1,0.218935000000000,0.209997500000000,0.216927500000000,0.222565000000000,0.221575000000000,0.214397500000000,0.209117500000000,0.241705000000000,0.225177500000000,0.255757500000000,0.226662500000000,nan,0.191737500000000,0.208760000000000,0.195697500000000,0.209447500000000,0.208292500000000,0.187860000000000,0.189070000000000,0.223940000000000,0.222207500000000,nan,0.222950000000000,0.198227500000000,nan,nan,0.239835000000000,nan
