OID_,CID,L7_20140124_R,L7_20140209_R,L7_20140313_R,L7_20141023_R,L7_20141210_R,L7_20150127_R,L7_20150212_R,L7_20170116_R,L7_20170201_R,L7_20170508_R,L7_20171202_R,L7_20180308_R,L7_20181205_R,L7_20200125_R,L7_20201124_R,L7_20201210_R,L7_20211127_R,L7_20211229_R,L7_20220114_R,L7_20220404_R,L7_20221024_R,L7_20221202_R,L7_20221214_R,L7_20221219_R,L7_20230319_R,L7_20230324_R,L7_20230916_R,L7_20230921_R
1,1,0.022777500000000,0.018432500000000,0.022832500000000,0.025582500000000,0.021595000000000,0.022200000000000,0.021155000000000,0.026655000000000,0.020137500000000,0.035125000000000,0.018377500000000,0.046345000000000,0.025115000000000,0.036500000000000,0.023465000000000,0.030422500000000,0.024922500000000,0.023135000000000,0.021732500000000,0.030560000000000,0.022805000000000,nan,0.030037500000000,nan,0.032045000000000,nan,0.027397500000000,0.018377500000000
2,1,nan,nan,nan,0.034162500000000,0.037600000000000,0.039772500000000,0.042880000000000,0.038397500000000,0.034080000000000,nan,nan,0.035317500000000,nan,0.031357500000000,nan,nan,nan,0.023080000000000,nan,0.028360000000000,0.022585000000000,nan,nan,nan,0.024317500000000,nan,nan,0.023492500000000
3,1,nan,0.037380000000000,0.047280000000000,0.029872500000000,nan,0.037022500000000,0.038755000000000,0.038562500000000,0.036445000000000,0.049755000000000,0.029047500000000,0.038177500000000,0.025142500000000,0.026160000000000,0.024042500000000,nan,nan,0.022695000000000,0.021650000000000,nan,0.022777500000000,nan,0.029982500000000,nan,0.024290000000000,nan,nan,0.023465000000000
4,1,0.025362500000000,0.025692500000000,0.028662500000000,0.020082500000000,0.029927500000000,0.027590000000000,0.028910000000000,0.030807500000000,0.027095000000000,0.033805000000000,0.024372500000000,0.036390000000000,0.022530000000000,0.031385000000000,0.023740000000000,0.028250000000000,0.023520000000000,0.016727500000000,0.028717500000000,nan,0.022860000000000,nan,0.021595000000000,nan,0.023960000000000,nan,0.017552500000000,0.018762500000000
5,1,0.020495000000000,0.030257500000000,0.034245000000000,0.024125000000000,0.021980000000000,0.027480000000000,0.033640000000000,0.053880000000000,0.052697500000000,0.081187500000000,0.049727500000000,0.063395000000000,0.040322500000000,0.036610000000000,0.026600000000000,0.034492500000000,0.026435000000000,0.024070000000000,0.018047500000000,0.033667500000000,0.017222500000000,nan,0.021815000000000,nan,0.024015000000000,nan,0.014252500000000,0.013895000000000
6,1,0.032182500000000,0.029762500000000,0.030340000000000,0.023190000000000,0.036885000000000,0.034547500000000,0.041807500000000,0.044145000000000,0.041120000000000,0.032100000000000,0.033640000000000,0.038260000000000,0.039937500000000,0.041725000000000,0.028717500000000,0.024867500000000,0.025445000000000,0.027150000000000,0.035977500000000,0.027342500000000,0.028525000000000,nan,0.031467500000000,nan,0.023025000000000,0.025252500000000,0.023437500000000,0.024207500000000
7,1,0.022475000000000,0.025142500000000,0.028030000000000,0.023547500000000,0.027067500000000,nan,0.030010000000000,0.036225000000000,0.031605000000000,0.029432500000000,0.030972500000000,0.033585000000000,0.025170000000000,0.026077500000000,0.025857500000000,0.033090000000000,0.025362500000000,0.023272500000000,0.028800000000000,0.029927500000000,0.016892500000000,nan,0.030285000000000,0.023547500000000,0.026462500000000,nan,0.021072500000000,0.023217500000000
8,1,0.027370000000000,0.024895000000000,0.027700000000000,0.021540000000000,0.026710000000000,0.022310000000000,0.028002500000000,0.032155000000000,0.024702500000000,0.031577500000000,0.028662500000000,0.031852500000000,0.015132500000000,0.028497500000000,0.028882500000000,0.035262500000000,0.035592500000000,0.034905000000000,0.028855000000000,0.028277500000000,0.023107500000000,nan,0.030037500000000,nan,0.026985000000000,nan,0.017552500000000,0.023245000000000
9,1,0.022337500000000,0.030065000000000,0.034217500000000,nan,0.029845000000000,0.040377500000000,0.041120000000000,0.040982500000000,0.031715000000000,0.043320000000000,0.034547500000000,0.046675000000000,0.027425000000000,nan,0.024207500000000,0.030395000000000,0.026655000000000,0.024565000000000,0.028662500000000,0.025940000000000,0.023245000000000,nan,0.021512500000000,nan,0.041312500000000,nan,0.057620000000000,0.052890000000000
10,1,0.017662500000000,nan,nan,0.015160000000000,0.013537500000000,0.016480000000000,0.020577500000000,0.026847500000000,0.017442500000000,nan,nan,0.027920000000000,0.020192500000000,0.015215000000000,nan,0.017277500000000,0.023327500000000,0.030615000000000,nan,0.023795000000000,0.017717500000000,nan,nan,0.023575000000000,0.015325000000000,nan,nan,0.013620000000000
11,1,0.022722500000000,0.015682500000000,0.024290000000000,0.021512500000000,0.021292500000000,0.024345000000000,0.025995000000000,0.023025000000000,0.022392500000000,0.036032500000000,0.020990000000000,nan,0.020027500000000,0.023190000000000,0.015187500000000,0.023795000000000,0.021842500000000,0.021622500000000,0.021677500000000,0.023657500000000,0.017580000000000,nan,0.024730000000000,0.019147500000000,nan,nan,0.013812500000000,nan
12,1,0.065485000000000,0.066667500000000,0.080720000000000,nan,0.045272500000000,0.046950000000000,0.054457500000000,0.049370000000000,0.054980000000000,0.076842500000000,0.046977500000000,0.065430000000000,0.042742500000000,nan,0.020825000000000,0.029955000000000,0.094112500000000,0.089355000000000,0.103215000000000,0.080610000000000,0.090015000000000,nan,0.091500000000000,nan,0.078135000000000,nan,0.050910000000000,0.052532500000000
13,1,0.028277500000000,0.030312500000000,0.036115000000000,0.025885000000000,0.032292500000000,0.027480000000000,0.033007500000000,0.048297500000000,0.043375000000000,0.065677500000000,0.044337500000000,0.057345000000000,0.037765000000000,0.039167500000000,0.026545000000000,0.041010000000000,0.032375000000000,0.023932500000000,0.025225000000000,nan,0.028167500000000,nan,0.026462500000000,nan,0.032265000000000,nan,0.018075000000000,0.028415000000000
14,1,nan,0.043567500000000,0.044200000000000,0.025720000000000,0.047170000000000,0.044117500000000,0.043595000000000,0.052725000000000,0.049590000000000,0.024125000000000,0.035537500000000,0.029900000000000,0.032897500000000,0.051377500000000,0.020412500000000,nan,0.035895000000000,0.030780000000000,0.035950000000000,nan,0.026517500000000,nan,0.040267500000000,nan,0.021512500000000,nan,0.015050000000000,0.023135000000000
15,1,0.022282500000000,0.024840000000000,0.026517500000000,0.021787500000000,0.018625000000000,0.019560000000000,0.023657500000000,0.025252500000000,0.020027500000000,0.035290000000000,0.018130000000000,nan,0.012547500000000,0.046620000000000,0.034080000000000,0.043705000000000,0.050415000000000,0.028910000000000,0.028800000000000,0.034740000000000,0.028910000000000,nan,0.029927500000000,0.027920000000000,nan,nan,0.017635000000000,nan
16,1,0.019560000000000,0.015847500000000,0.020522500000000,nan,0.018955000000000,0.017552500000000,0.020907500000000,0.027672500000000,0.015022500000000,0.031852500000000,0.018597500000000,0.020247500000000,0.020165000000000,nan,0.022557500000000,0.026380000000000,0.025637500000000,0.023520000000000,0.018102500000000,0.024922500000000,0.013950000000000,nan,0.015105000000000,0.019092500000000,0.017635000000000,nan,0.011172500000000,0.018350000000000
17,1,0.025307500000000,0.025802500000000,0.026820000000000,0.019835000000000,0.026875000000000,0.027315000000000,nan,0.040900000000000,0.022365000000000,0.030367500000000,0.023932500000000,0.027562500000000,0.032842500000000,0.025995000000000,nan,0.034740000000000,0.022805000000000,nan,0.021705000000000,0.025225000000000,0.028250000000000,nan,nan,0.023465000000000,0.020962500000000,nan,nan,0.018680000000000
18,1,0.034795000000000,0.034630000000000,0.043402500000000,0.029102500000000,0.026545000000000,0.034437500000000,nan,0.037572500000000,0.038617500000000,0.043127500000000,0.033392500000000,0.049617500000000,0.039332500000000,0.031440000000000,0.025142500000000,0.031082500000000,0.035675000000000,nan,0.021595000000000,0.025252500000000,0.030505000000000,0.025142500000000,0.031165000000000,0.023630000000000,0.028112500000000,nan,0.022420000000000,0.028552500000000
