OID_,CID,L8_20140116_R,L8_20140217_R,L8_20140321_R,L8_20141015_R,L8_20141202_R,L8_20150119_R,L8_20150220_R,L8_20170108_R,L8_20170124_R,L8_20170516_R,L8_20171210_R,L8_20180316_R,L8_20181127_R,L8_20200117_R,L8_20200202_R,L8_20201116_R,L8_20201218_R,L8_20211119_R,L8_20211205_R,L8_20220106_R,L8_20220327_R,L8_20220412_R,L8_20221021_R,L8_20221208_R,L8_20221224_R,L8_20230314_R,L8_20230330_R,L8_20230922_R
1,1,0.016067500000000,0.017442500000000,0.019917500000000,0.015105000000000,0.018157500000000,0.015792500000000,0.017525000000000,0.014885000000000,0.016232500000000,0.023492500000000,0.016700000000000,0.045052500000000,0.026215000000000,0.035372500000000,0.035510000000000,0.025500000000000,0.026352500000000,0.021705000000000,0.024152500000000,0.023960000000000,0.029845000000000,0.030835000000000,0.023657500000000,0.022337500000000,0.022942500000000,0.029817500000000,0.036005000000000,0.020055000000000
2,1,0.050442500000000,0.064522500000000,0.066640000000000,0.034602500000000,0.035510000000000,0.033860000000000,0.045300000000000,0.025885000000000,0.027617500000000,0.055557500000000,0.023740000000000,0.039415000000000,0.019037500000000,0.026627500000000,0.026297500000000,0.021897500000000,0.023355000000000,0.023905000000000,0.024042500000000,0.023520000000000,0.032320000000000,0.032512500000000,0.025225000000000,0.023795000000000,0.022942500000000,0.029597500000000,0.031440000000000,0.023905000000000
3,1,0.032430000000000,0.043622500000000,0.044117500000000,0.026737500000000,0.026682500000000,0.027150000000000,0.034272500000000,0.021402500000000,0.026325000000000,0.045272500000000,0.022337500000000,0.034740000000000,0.018240000000000,0.024152500000000,0.024207500000000,0.018185000000000,0.020962500000000,0.020990000000000,0.021237500000000,0.021182500000000,0.028277500000000,0.027837500000000,0.020000000000000,0.020165000000000,0.019670000000000,0.023685000000000,0.028002500000000,0.020660000000000
4,1,0.020302500000000,0.023245000000000,0.023107500000000,0.016865000000000,0.021622500000000,0.021017500000000,0.023107500000000,0.020852500000000,0.021402500000000,0.025967500000000,0.021210000000000,0.027315000000000,0.021155000000000,0.025170000000000,0.024565000000000,0.019560000000000,0.019752500000000,0.022640000000000,0.020770000000000,0.021127500000000,0.026380000000000,0.025692500000000,0.021127500000000,0.020742500000000,0.020825000000000,0.024235000000000,0.025665000000000,0.018102500000000
5,1,0.019257500000000,0.024152500000000,0.034272500000000,0.019230000000000,0.018762500000000,0.018185000000000,0.025280000000000,0.041972500000000,0.044365000000000,0.075715000000000,0.035702500000000,0.058170000000000,0.032980000000000,0.033145000000000,0.034217500000000,0.024840000000000,0.021980000000000,0.025362500000000,0.023437500000000,0.021320000000000,0.035895000000000,0.042110000000000,0.024317500000000,0.021347500000000,0.019505000000000,0.028195000000000,0.031577500000000,0.022777500000000
6,1,0.028360000000000,0.029900000000000,0.032375000000000,0.019615000000000,0.031000000000000,0.032292500000000,0.034080000000000,0.032595000000000,0.032650000000000,0.028635000000000,0.025060000000000,0.030615000000000,0.025940000000000,0.034025000000000,0.038590000000000,0.024730000000000,0.029432500000000,0.025830000000000,0.026930000000000,0.026765000000000,0.028387500000000,0.022915000000000,0.021980000000000,0.028305000000000,0.028607500000000,0.029762500000000,0.026682500000000,0.018762500000000
7,1,0.024427500000000,0.027095000000000,0.028690000000000,0.018900000000000,0.025252500000000,0.022255000000000,0.024372500000000,0.021870000000000,0.023217500000000,0.021485000000000,0.022695000000000,0.028387500000000,0.020907500000000,0.029075000000000,0.024867500000000,0.022585000000000,0.025582500000000,0.024180000000000,0.028112500000000,0.024235000000000,0.026627500000000,0.023602500000000,0.020990000000000,0.025142500000000,0.025252500000000,0.026490000000000,0.024812500000000,0.019120000000000
8,1,0.019725000000000,0.022530000000000,0.028965000000000,0.017992500000000,0.020907500000000,0.021017500000000,0.023575000000000,0.021760000000000,0.020330000000000,0.025747500000000,0.023217500000000,0.028800000000000,0.019340000000000,0.021347500000000,0.022502500000000,0.027947500000000,0.033145000000000,0.026765000000000,0.029075000000000,0.030037500000000,0.032622500000000,0.028745000000000,0.026132500000000,0.027122500000000,0.028855000000000,0.031550000000000,0.033695000000000,0.023245000000000
9,1,0.019725000000000,0.027562500000000,0.031660000000000,0.015957500000000,0.020440000000000,0.028662500000000,0.039882500000000,0.021567500000000,0.025527500000000,0.039525000000000,0.027370000000000,0.043760000000000,0.020715000000000,0.031027500000000,0.030835000000000,0.022310000000000,0.023685000000000,0.023162500000000,0.023382500000000,0.023685000000000,0.029625000000000,0.028607500000000,0.021815000000000,0.021292500000000,0.022750000000000,0.026462500000000,0.059600000000000,0.062295000000000
10,1,0.013125000000000,0.016315000000000,0.020082500000000,0.014500000000000,0.016315000000000,0.013922500000000,0.016342500000000,0.013620000000000,0.015545000000000,0.024180000000000,0.014830000000000,0.020522500000000,0.014885000000000,0.016700000000000,0.015655000000000,0.014445000000000,0.014747500000000,0.017635000000000,0.018102500000000,0.015187500000000,0.021100000000000,0.020055000000000,0.016232500000000,0.014692500000000,0.013565000000000,0.017057500000000,0.018515000000000,0.015407500000000
